
#;NAME;P0;P1;BINARY;ASSOC;PSR;
;;(s);;(type);;TYPE;
352;J0719-2545;0.974725;7.28e-15;*;*;*;
353;J0720-3125;8.391116;6.98e-14;*;XRS:RX_J0720.4-3125,OPT:[kva07];XINS,NRAD;
354;J0721-2038;0.015542;4.40e-20;BT;*;*;
355;J0723-2050;0.711540;*;*;*;RRAT(?)[bbc+22];
356;J0725-1635;0.424311;9.26e-17;*;*;*;
357;J0726-2612;3.442308;2.93e-13;*;XRS:1RXS_J072559.8-261229[skk11];*;
358;J0729-1448;0.251709;1.13e-13;*;GRS:4FGL_J0729.3-1445[aab+22];HE[mhl+02],HE[aab+22];
359;B0727-18;0.510160;1.90e-14;*;*;HE[sbc+19];
360;J0732+2314;0.004090;6.02e-21;ELL1;*;*;
361;J0733-2345;1.796250;5.70e-15;*;*;*;
362;J0734-1559;0.156250;1.22e-14;*;GRS:4FGL_J0734.7-1559[aab+22];NRAD[aab+22];
363;J0736-6304;4.862874;1.52e-13;*;*;RRAT;
364;J0737-2202;0.320366;5.47e-15;*;*;*;
365;J0737-3039A;0.022699;1.76e-18;DDS;*;HE[cgm+07],HE[gkj+13];
366;J0737-3039B;2.773461;8.92e-16;DD;*;*;
367;J0738+6904;6.827693;2.70e-14;*;*;*;
368;B0736-40;0.374920;1.62e-15;*;*;*;
369;J0740+6620;0.002886;1.22e-20;ELL1;GRS:4FGL_J0741.0+6618[aab+22];HE[lsg+15],HE[aab+22];
370;J0741+17;1.730000;*;*;*;RRAT[cwp+17];
371;J0742+4110;0.003139;6.69e-21;ELL1;*;*;
372;J0742+4334;0.606191;3.71e-16;*;*;*;
373;B0740-28;0.166762;1.68e-14;*;GRS:4FGL_J0742.8-2822[aab+22];HE;
374;J0744-2525;0.091996;9.56e-16;*;GRS:4FGL_J0744.0-2525[aab+22];NRAD[nie+20];
375;B0743-53;0.214839;2.19e-15;*;*;*;
376;J0746-4529;2.791025;1.67e-14;*;*;*;
377;J0747+6646;0.407701;6.78e-16;*;*;*;
378;J0749-4247;1.095452;9.77e-16;*;*;*;
379;J0750+57;1.174870;*;*;*;*;
380;J0750-6846;0.915216;1.10e-16;*;*;*;
381;J0751+1807;0.003479;7.79e-21;ELL1H;GRS:4FGL_J0751.2+1808[aab+22];HE[wob+04],HE[aaa+09f];
382;J0753-0816;2.093620;*;*;*;*;
383;B0751+32;1.442349;1.08e-15;*;*;*;
384;B0756-15;0.682265;1.62e-15;*;*;*;
385;J0758-30;1.092000;*;*;*;*;
386;J0802-5613;0.273973;2.76e-15;*;GRS:4FGL_J0802.1-5612[aab+22];NRAD[nie+20];
387;J0803+34;*;*;*;*;RRAT[ttm18];
388;J0803-0942;0.571257;1.16e-15;*;*;*;
389;J0804-3647;2.191987;4.21e-15;*;*;*;
390;J0806+08;2.063100;*;*;*;*;
391;J0806-4123;11.370386;5.56e-14;*;XRS:RX_J0806.4-4123[hmp98],OPT:[kkvh11];XINS,NRAD;
392;J0807-5421;0.526644;3.78e-16;*;*;*;
393;J0808-3937;0.866349;4.01e-16;*;*;*;
394;B0808-47;0.547202;3.08e-15;*;*;*;
395;J0811+37;1.248300;*;*;*;*;
396;J0812-3905;0.482596;4.49e-17;*;*;*;
397;J0813+22;0.531400;*;*;*;*;
398;B0809+74;1.292241;1.68e-16;*;*;*;
