
#;NAME;P0;P1;BINARY;ASSOC;PSR;
;;(s);;(type);;TYPE;
835;J1317-0157;0.002908;5.50e-21;ELL1;*;*;
836;J1317-5759;2.642199;1.26e-14;*;*;RRAT;
837;J1317-6302;0.261271;1.02e-16;*;*;*;
838;B1316-60;0.284353;1.53e-15;*;*;*;
839;J1319-6105;0.421118;1.50e-15;*;*;*;
840;J1320+67;1.028620;*;*;*;*;
841;J1320-3512;0.458488;1.90e-18;*;*;*;
842;B1317-53;0.279738;9.25e-15;*;*;*;
843;B1322+83;0.670037;5.66e-16;*;*;*;
844;J1321-5922;1.279058;2.37e-15;*;*;*;
845;J1322-62;1.044851;*;*;*;*;
846;J1322-6241;0.506058;2.59e-15;*;*;*;
847;J1322-6329;2.764209;1.11e-14;*;*;*;
848;J1324-6146;0.844109;5.58e-15;*;*;*;
849;J1324-6302;2.483804;9.79e-16;*;*;*;
850;J1325-6253;0.028969;4.80e-20;DD;*;*;
851;J1326+33;0.041500;*;*;*;*;
852;J1326-4728A;0.004109;2.74e-20;*;GC:OmegaCen(NGC5139)[djk+20];*;
853;J1326-4728B;0.004792;-5.43e-20;ELL1;GC:OmegaCen(NGC5139)[djk+20],XRS:J132649;*;
854;J1326-4728C;0.006868;9.81e-21;*;GC:OmegaCen(NGC5139)[djk+20],XRS:J132655;*;
855;J1326-4728D;0.004579;-4.11e-20;*;GC:OmegaCen(NGC5139)[djk+20];*;
856;J1326-4728E;0.004208;1.63e-20;*;GC:OmegaCen(NGC5139)[djk+20],XRS:J132642;*;
857;B1323-58;0.477994;3.24e-15;*;*;*;
858;B1323-63;0.792674;3.09e-15;*;*;*;
859;B1322-66;0.543015;5.33e-15;*;*;*;
860;J1327+3423;0.041513;1.29e-19;*;*;*;
861;J1327-0755;0.002678;1.80e-21;T2;*;HE[sbc+19];
862;B1323-62;0.529929;1.88e-14;*;*;*;
863;B1323-627;0.196480;1.53e-15;*;*;*;
864;J1327-6400;0.280678;3.12e-14;*;*;*;
865;B1325-43;0.532699;3.01e-15;*;*;*;
866;B1325-49;1.478721;6.10e-16;*;*;*;
867;J1328-62;0.528858;*;*;*;*;
868;J1328-6605;0.734367;*;*;*;*;
869;J1329+13;*;*;*;*;RRAT(?)[ttm+18];
870;J1329-6158;1.565218;3.39e-14;*;*;*;
871;J1331-5245;0.648117;5.10e-16;*;*;*;
872;J1332-03;1.106400;*;*;*;RRAT;
873;J1332-3032;0.650434;5.60e-16;*;*;*;
874;J1333-4449;0.345603;5.40e-19;*;*;*;
875;J1334+10;0.911100;*;*;*;*;
876;J1334-5839;0.107718;2.16e-17;*;*;*;
877;J1335-3642;0.399192;*;*;*;*;
878;J1335-5656;0.003238;1.21e-20;*;GRS:4FGL_J1335.0-5656[aab+22];NRAD[nie+20];
879;J1336+33;3.013000;*;*;*;RRAT(?)[ttm18];
880;J1336-2522;0.478145;3.31e-16;*;*;*;
881;J1337-4441;1.257511;3.03e-16;*;*;*;
882;J1337-6306;0.207953;3.56e-16;*;*;*;
883;J1337-6423;0.009423;2.47e-20;ELL1;*;*;
884;B1334-61;1.239001;1.38e-14;*;*;*;
885;J1338-6425;0.004088;*;?;*;*;
886;J1339-4712;0.137055;5.30e-19;*;*;*;
887;J1339-6618;0.558179;3.50e-16;*;*;*;
888;B1336-64;0.378622;5.05e-15;*;*;*;
889;J1341-6023;0.627285;1.95e-14;*;*;*;
890;B1338-62;0.193340;2.53e-13;*;GRS:4FGL_J1341.7-6216[aab+22],SNR:G308.8;HE[aab+22];
891;J1342+2822A;0.002545;*;BT;GC:M3(NGC5272);*;
892;J1342+2822B;0.002389;1.86e-20;ELL1;GC:M3(NGC5272),OPT:[cfi+19];*;
893;J1342+2822C;0.002166;*;*;GC:M3(NGC5272);*;
894;J1342+2822D;0.005443;*;DD;GC:M3(NGC5272);*;
895;J1342+2822E;0.005470;*;*;GC:M3(NGC5272)[pqm+21];*;
896;J1342+2822F;0.004400;*;*;GC:M3(NGC5272)[pqm+21];*;
897;J1343+6634;1.394104;1.09e-15;*;*;*;
898;J1344-5855;0.252398;2.91e-15;*;*;*;
899;J1344-6059;0.540102;4.30e-17;*;*;*;
900;J1345-6115;1.253085;3.25e-15;*;*;*;
901;J1346-4918;0.299625;3.50e-17;*;*;*;
902;J1347-5947;0.609962;1.42e-14;*;*;*;
903;J1348-6307;0.927772;3.79e-15;*;*;*;
904;J1349-6130;0.259365;5.12e-15;*;*;*;
905;J1349-63;0.373034;*;*;*;*;
906;J1350-5115;0.295700;7.58e-16;*;*;*;
907;J1350-6225;0.138158;8.88e-15;*;GRS:4FGL_J1350.6-6224[aab+22];NRAD[aab+22];
908;J1352-6141;0.004738;*;*;*;*;
909;J1352-6803;0.628903;1.23e-15;*;*;*;
910;J1353-6341;2.076200;*;*;*;*;
911;J1354+2454;6.270000;*;*;*;RRAT[mss+20];
912;J1354-6249;2.951938;1.48e-14;*;*;*;
913;B1352-51;0.644305;2.81e-15;*;*;*;
914;J1355-5747;2.038674;7.07e-16;*;*;*;
915;J1355-5925;1.213381;5.99e-15;*;*;*;
916;J1355-6206;0.276603;3.10e-18;*;*;*;
917;J1356-5521;0.507380;7.24e-16;*;*;*;
918;J1357-2530;0.912971;*;*;*;*;
919;B1353-62;0.455761;*;*;*;*;
920;J1357-6429;0.166108;3.60e-13;*;GRS:4FGL_J1356.9-6432[aab+22],XRS:PWN[za;HE[lzg+11];
921;J1358-59;0.374120;*;*;*;*;
922;J1358-6025;0.060533;3.02e-15;*;GRS:4FGL_J1358.3-6026[aab+22];NRAD[nie+20];
923;B1356-60;0.127508;6.33e-15;*;*;*;
924;J1359-6242;0.899747;*;*;*;*;
925;J1400+21;*;*;*;*;RRAT[ttm18];
926;J1400-1431;0.003084;7.23e-21;ELL1;GRS:4FGL_J1400.6-1432[aab+22],OPT:[skm+1;HE[aab+22];
927;J1400-6325;0.031182;3.89e-14;*;GRS:IGR_J14003-6326,SNR:G310.6-1.6;HE;
928;B1358-63;0.842805;1.68e-14;*;*;*;
929;J1402+1306;0.005892;1.35e-20;ELL1;GRS:4FGL_J1402.7+1306[aab+22];HE[saa+23];
930;B1359-51;1.380182;5.41e-15;*;*;*;
931;J1403-0314;0.362634;*;*;*;*;
932;J1403-6310;0.399170;9.00e-17;*;*;*;
933;J1403-7646;1.306198;1.20e-15;*;*;*;
934;J1404+1159;2.650439;1.38e-15;*;*;*;
935;J1405-4656;0.007602;2.79e-20;ELL1;*;*;
936;J1405-5641;0.617575;1.20e-15;*;*;*;
937;J1406-4233;2.436795;6.81e-16;*;*;*;
938;J1406-5806;0.288349;6.11e-16;*;*;*;
939;J1406-59;1.248318;*;*;*;*;
940;J1406-6121;0.213075;5.47e-14;*;*;*;
941;J1407-6048;0.492344;3.16e-15;*;*;*;
942;J1407-6153;0.701615;8.85e-15;*;*;*;
943;J1408-6009;0.567635;*;*;*;*;
944;J1409-6011;0.300581;*;*;*;*;
945;J1409-6953;0.528591;8.40e-16;*;*;*;
946;J1410-6132;0.050052;3.20e-14;*;GRS:4FGL_J1411.5-6133[aab+22];HE[ojk+08],HE[aab+22];
947;J1410-7404;0.278729;6.74e-18;*;*;*;
948;J1411+2551;0.062453;9.60e-20;DD;*;*;
949;J1412+7922;0.058199;3.29e-15;*;XRS:1RXS_J141256.0+792204(Calvera);NRAD;
950;J1412-6111;0.529156;1.91e-15;*;*;*;
951;J1412-6145;0.315258;9.90e-14;*;*;*;
952;J1413-5936;0.021676;*;?;*;*;
953;J1413-6141;0.285625;3.33e-13;*;*;*;
954;J1413-6205;0.109741;2.77e-14;*;GRS:4FGL_J1413.5-6205[aab+22],GRS:1AGL_J;NRAD[aab+22];
955;J1413-6222;0.292408;2.23e-15;*;*;*;
956;B1409-62;0.394946;7.43e-15;*;*;*;
957;J1414-6802;4.630188;6.39e-15;*;*;*;
958;J1415-6621;0.392479;5.80e-16;*;*;*;
959;J1416-5033;0.794883;1.20e-16;*;*;*;
960;J1416-6037;0.295580;4.28e-15;*;*;*;
961;J1417-4402;0.002664;*;ELL1;GRS:4FGL_J1417.6-4403[aab+22],XRS:[scc+1;HE;
962;J1418-3921;1.096806;8.89e-16;*;*;*;
963;J1418-5945;1.672596;2.71e-16;*;*;*;
964;J1418-6058;0.110573;1.69e-13;*;GRS:4FGL_J1418.7-6057[aab+22],GRS:HESS_J;NRAD[aab+22];
965;B1417-54;0.935772;2.32e-16;*;*;*;
966;J1420-5625;0.034117;6.75e-20;BT;*;*;
967;J1420-6048;0.068180;8.32e-14;*;GRS:4FGL_J1420.0-6048[aab+22],GRS:HESS_J;HE[rrj01],HE[waa+10];
968;J1421-4409;0.006386;1.24e-20;ELL1;*;*;
969;J1422-6138;0.340968;9.68e-14;*;GRS:4FGL_J1422.5-6137[aab+22];NRAD[aab+22];
970;J1423-6953;0.333411;1.45e-15;*;*;*;
971;J1424-5556;0.770375;7.80e-16;*;*;*;
972;J1424-56;1.427000;*;*;*;RRAT;
973;J1424-5822;0.366736;3.94e-15;*;*;*;
974;J1424-6438;1.023504;2.40e-16;*;*;*;
975;J1425-5723;0.353263;2.20e-17;*;*;*;
976;J1425-5759;0.707868;7.42e-16;*;*;*;
977;J1425-6210;0.501730;4.78e-16;*;*;*;
978;J1426+52;0.995800;*;*;*;*;
979;J1426-6136;0.283700;*;*;*;*;
980;J1427-4158;0.586486;6.21e-16;*;*;*;
981;B1424-55;0.570292;2.09e-15;*;*;*;
982;J1429-5911;0.115843;3.05e-14;*;GRS:4FGL_J1429.9-5911[aab+22];NRAD[aab+22];
983;J1429-5935;0.763915;4.28e-14;*;*;*;
984;J1430-5712;0.491519;4.69e-14;*;*;*;
985;B1426-66;0.785443;2.78e-15;*;*;*;
986;J1431-4715;0.002012;1.41e-20;ELL1;GRS:4FGL_J1431.4-4711[aab+22];HE[btb+15],HE[aab+22];
987;J1431-5740;0.004111;6.42e-21;BT;*;*;
988;J1431-6328;0.002772;*;*;*;*;
989;J1432-5032;2.034989;5.92e-15;*;*;*;
990;J1433+00;*;*;*;*;RRAT[dsm+16];
991;J1433-6038;1.954430;5.63e-15;*;*;*;
992;J1434+7257;0.041741;5.48e-19;*;*;*;
993;J1434-5943;1.072121;2.96e-17;*;*;*;
994;J1434-6006;0.306368;3.02e-15;*;*;*;
995;J1434-6029;0.963348;1.03e-15;*;*;*;
996;J1435-5954;0.472996;1.55e-15;*;*;*;
997;J1435-60;3.262166;*;*;*;*;
998;J1435-6100;0.009348;2.45e-20;ELL1;*;*;
999;J1436-6405;0.009333;*;*;*;*;
1000;J1437-5959;0.061696;8.59e-15;*;SNR:G315.9-0.0,PWN:G315.78-0.23[nbg+12];*;
1001;J1437-6146;0.467616;6.33e-15;*;*;*;
1002;J1437-62;0.777994;*;*;*;*;
1003;J1439+7655;0.947903;*;*;*;RRAT[kkl+15];
1004;J1439-5501;0.028635;1.42e-19;ELL1;GRS:4FGL_J1440.2-5505[aab+22];HE[fsk+04],HE[aab+22];
1005;B1436-63;0.459607;1.12e-15;*;*;*;
1006;J1441-6137;1.175840;3.60e-16;*;*;*;
1007;J1443-5122;0.732061;3.38e-16;*;*;*;
1008;J1444-5941;2.760228;8.23e-15;*;*;*;
1009;J1444-6026;4.758576;1.85e-14;*;*;RRAT;
1010;J1446-4701;0.002195;9.81e-21;T2;GRS:4FGL_J1446.6-4701[aab+22];HE;
1011;J1447-5757;0.158730;1.17e-14;*;GRS:4FGL_J1447.4-5757[aab+22];NRAD[nie+20];
1012;J1449-5846;0.463330;8.60e-17;*;*;*;
1013;J1449-6339;0.029466;*;*;*;*;
1014;J1452-5549;0.075253;*;*;*;*;
1015;J1452-5851;0.386643;5.07e-14;*;*;*;
1016;J1452-6036;0.154992;1.45e-15;*;*;*;
1017;J1453+1902;0.005792;1.17e-20;*;*;*;
1018;B1449-64;0.179487;2.74e-15;*;*;*;
1019;J1454-5416;0.396459;*;*;*;*;
1020;J1454-5846;0.045249;8.17e-19;BT;*;*;
1021;J1455-3330;0.007987;2.43e-20;DD;GRS:4FGL_J1455-3331[aab+22];HE[lnl+95],HE[aab+22];
1022;J1455-59;0.176191;*;*;*;*;
1023;J1456-48;0.536810;*;*;*;*;
1024;B1451-68;0.263377;9.89e-17;*;*;*;
1025;B1454-51;1.748308;5.30e-15;*;*;*;
1026;J1457-5900;1.498637;3.66e-15;*;*;*;
1027;J1457-5902;0.390739;1.23e-14;*;*;*;
1028;J1459-6053;0.103151;2.53e-14;*;GRS:4FGL_J1459.5-6053[aab+22];NRAD[aab+22];
1029;J1500-6054;0.213661;*;*;*;*;
1030;J1501-0046;0.464037;2.39e-16;*;*;*;
1031;J1501-5637;0.782949;1.70e-16;*;*;*;
1032;J1502+28;3.784000;*;*;*;RRAT(?)[ttm18];
1033;J1502+4653;1.752508;1.72e-16;*;*;*;
1034;J1502-5653;0.535504;1.83e-15;*;*;*;
1035;J1502-5828;0.668105;3.64e-14;*;*;*;
1036;J1502-6128;0.842104;1.35e-15;*;*;*;
1037;J1502-6752;0.026744;3.15e-19;ELL1;*;*;
1038;J1503+2111;3.314002;1.40e-16;*;*;*;
1039;J1504-5621;0.412985;5.53e-15;*;*;*;
1040;J1504-5659;1.672372;1.43e-15;*;*;*;
1041;J1505-25;0.999000;*;*;*;*;
1042;J1505-2524;0.999250;9.80e-16;*;*;*;
1043;B1503-51;0.840739;6.37e-15;*;*;*;
1044;B1504-43;0.286758;1.58e-15;*;*;*;
1045;J1507-5800;0.897254;2.60e-16;*;*;*;
1046;B1503-66;0.355656;1.15e-15;*;*;*;
1047;B1508+55;0.739682;5.00e-15;*;*;*;
1048;J1509-5850;0.088925;9.17e-15;*;GRS:4FGL_J1509.4-5850[aab+22],XRS:PWN[hb;HE[waa+10];
1049;J1509-6015;0.339038;2.12e-15;*;*;*;
1050;B1507-44;0.943871;6.10e-16;*;*;*;
1051;J1510-5254;0.004779;*;?;*;*;
1052;J1511-5414;0.200384;4.85e-16;*;*;*;
1053;J1511-5835;0.301511;3.44e-16;*;*;*;
1054;J1512-5431;2.040532;1.92e-15;*;*;*;
1055;B1508-57;0.128699;6.85e-15;*;*;*;
1056;J1512-6029;0.229595;*;*;*;*;
1057;J1513-2550;0.002119;2.16e-20;ELL1;GRS:4FGL_J1513.4-2549[aab+22];HE;
1058;J1513-5739;0.973458;2.75e-14;*;*;*;
1059;B1509-58;0.151582;1.53e-12;*;SNR:G320.4-1.2,GRS:AGILE[ppp+09];HE[umw+93],HE[ppp+09];
1060;J1513-5946;1.046117;8.53e-15;*;*;RRAT;
1061;J1513-6013;1.958737;1.37e-15;*;*;*;
1062;B1510-48;0.454840;9.26e-16;*;*;*;
1063;J1514-4946;0.003589;1.86e-20;ELL1;GRS:4FGL_J1514.3-4946[aab+22];HE;
1064;J1514-5316;0.296279;1.60e-18;*;*;*;
1065;J1514-5925;0.148797;2.88e-15;*;*;*;
1066;J1515-5720;0.286648;6.09e-15;*;*;*;
1067;J1516-43;0.036022;*;ELL1;*;*;
1068;J1517-313;0.140668;*;*;*;*;
1069;J1517-314;1.103726;*;*;*;*;
1070;J1517-32;0.064402;*;*;*;*;
1071;J1517-4356;0.650837;2.16e-16;*;*;*;
1072;J1517-4636;0.886612;2.10e-15;*;*;*;
1073;B1516+02A;0.005554;4.12e-20;*;GC:M5(NGC5904);*;
1074;B1516+02B;0.007947;-3.30e-21;BT;GC:M5(NGC5904);*;
1075;J1518+0204C;0.002484;2.61e-20;ELL1;GC:M5(NGC5904),OPT:COM_M5C[prf+14];*;
1076;J1518+0204D;0.002988;*;BT;GC:M5(NGC5904);*;
1077;J1518+0204E;0.003182;*;BT;GC:M5(NGC5904);*;
1078;J1518+0204F;0.002650;*;*;GC:M5(NGC5904)[pqm+21];*;
1079;J1518+4904;0.040935;2.72e-20;DD;*;*;
1080;J1518-0627;0.794997;4.18e-16;*;*;*;
1081;J1518-3952;0.499196;2.37e-16;*;*;*;
1082;J1518-5415;0.214925;4.06e-17;*;*;*;
1083;J1519-5734;0.518758;4.27e-15;*;*;*;
1084;J1519-6106;2.154307;8.37e-15;*;*;*;
1085;J1519-6308;1.254052;5.96e-15;*;*;*;
1086;J1520-5402;0.270699;*;*;*;*;
1087;J1522-5525;1.389605;3.30e-15;*;*;*;
1088;J1522-5735;0.102136;3.12e-14;*;GRS:4FGL_J1521.9-5735[aab+22],SNR:G321.9;NRAD[aab+22];
1089;B1518-58;0.395354;2.06e-15;*;*;*;
1090;J1523-3235;1.504835;9.53e-16;*;*;*;
1091;J1524-5625;0.078219;3.90e-14;*;*;*;
1092;J1524-5706;1.116174;3.56e-13;*;*;*;
1093;J1524-5819;0.961043;1.26e-13;*;*;*;
1094;J1525-5417;1.011694;1.62e-14;*;*;*;
1095;J1525-5523;0.355156;8.96e-18;*;*;*;
1096;J1525-5545;0.011360;1.31e-19;ELL1;*;*;
1097;J1525-5605;0.280349;1.16e-16;*;*;*;
1098;J1526-2744;0.002489;3.54e-21;ELL1;GRS:[cbb+23];NRAD[aab+22];
1099;J1526-5633;0.301888;1.23e-16;*;*;*;
1100;J1526-5652;0.848913;*;*;*;*;
1101;B1524-39;2.417605;1.91e-14;*;*;*;
1102;B1523-55;1.048719;1.13e-14;*;*;*;
1103;J1528-3146;0.060822;2.49e-19;DDH;*;*;
1104;J1528-4109;0.526556;3.96e-16;*;*;*;
1105;J1528-5547;3.467302;7.75e-15;*;*;*;
1106;J1528-5838;0.355687;2.48e-14;*;GRS:4FGL_J1528.4-5838[aab+22];NRAD[aab+22];
1107;J1529+40;0.476400;*;*;*;*;
1108;J1529-26;0.799000;*;*;*;*;
1109;J1529-3828;0.008486;2.70e-20;DD;*;*;
1110;J1529-5102;1.268454;*;*;*;*;
1111;J1529-5355;0.891265;8.10e-16;*;*;*;
1112;J1529-5609;0.036032;*;?;*;*;
1113;J1529-5611;0.822249;4.10e-15;*;*;*;
1114;J1530-21;0.505000;*;*;*;*;
1115;J1530-2114;0.505339;4.64e-16;*;*;*;
1116;J1530-5327;0.278958;4.68e-15;*;*;*;
1117;J1530-5724;0.568030;*;*;*;*;
1118;J1530-6343;0.910320;8.25e-16;*;*;*;
1119;J1531-4012;0.356849;9.63e-17;*;*;*;
1120;J1531-5610;0.084206;1.38e-14;*;GRS:4FGL_J1531.5-5612[aab+22];HE[kbm+03],HE[aab+22];
1121;B1530+27;1.124836;7.80e-16;*;*;*;
1122;J1532-5308;0.443825;6.50e-17;*;*;*;
1123;J1532-56;0.522977;*;*;*;*;
1124;J1534-4428;1.221426;1.80e-16;*;*;*;
1125;J1534-46;0.364835;*;*;*;RRAT;
1126;B1530-53;1.368882;1.43e-15;*;*;*;
1127;B1530-539;0.289689;1.54e-15;*;*;*;
1128;J1535-4114;0.432866;4.07e-15;*;*;*;
1129;J1535-4415;0.468402;4.05e-17;*;*;*;
1130;J1535-5450;0.566734;1.43e-14;*;*;*;
1131;J1535-5848;0.307178;2.72e-15;*;*;*;
1132;J1536+17;0.933300;*;*;*;*;
1133;J1536-30;1.901000;*;*;*;*;
1134;J1536-3602;1.319759;7.90e-16;*;*;*;
1135;J1536-4948;0.003080;2.12e-20;DDH;GRS:4FGL_J1536.4-4948[brj+21];HE[brj+21];
1136;J1536-5433;0.881438;1.91e-15;*;*;*;
1137;J1536-5907;0.557841;1.37e-15;*;*;*;
1138;J1536-6142;0.369501;*;*;*;*;
1139;J1536-6149;0.006875;*;?;*;*;
1140;B1534+12;0.037904;2.42e-18;DD;XRS:[kpg06b];*;
1141;J1537-4912;0.301311;1.93e-15;*;*;*;
1142;J1537-5153;1.528124;4.17e-15;*;*;*;
1143;J1537-5312;0.006927;1.59e-20;ELL1;*;*;
1144;J1537-5645;0.430464;2.78e-15;*;*;*;
1145;J1537-61;0.369501;*;*;*;*;
1146;J1538+2345;3.449385;6.89e-15;*;*;RRAT;
1147;J1538-5438;0.276726;1.42e-15;*;*;*;
1148;J1538-5519;0.395731;4.10e-17;*;*;*;
1149;J1538-5551;0.104676;3.21e-15;*;*;*;
1150;J1538-5621;1.908494;7.31e-15;*;*;*;
1151;J1538-5638;0.843980;7.12e-15;*;*;*;
1152;J1538-5732;0.341213;4.55e-15;*;*;*;
1153;J1538-5750;0.506568;4.20e-17;*;*;*;
1154;J1539-4828;1.272842;1.27e-15;*;*;*;
1155;J1539-5521;1.004958;7.28e-16;*;*;*;
1156;B1535-56;0.243395;4.85e-15;*;*;*;
1157;J1539-6322;1.630846;2.02e-16;*;*;*;
1158;J1540-5736;0.612916;4.21e-16;*;*;*;
1159;J1540-5821;3.474720;*;*;*;*;
1160;J1541+4703;0.277701;2.10e-16;*;*;RRAT[cwp+17];
1161;J1541-42;*;*;*;*;RRAT;
1162;J1541-5535;0.295838;7.50e-14;*;*;*;
1163;J1542-5034;0.599248;4.02e-15;*;*;*;
1164;J1542-5133;1.783865;5.89e-16;*;*;*;
1165;J1542-5303;1.207568;7.78e-14;*;*;*;
1166;B1541+09;0.748448;4.32e-16;*;*;*;
1167;B1540-06;0.709064;8.80e-16;*;*;*;
1168;J1543-5013;0.644255;1.01e-14;*;*;*;
1169;J1543-5149;0.002057;1.62e-20;ELL1;GRS:4FGL_J1543.6-5148[aab+22];HE[aab+22];
1170;J1543-5439;0.004312;*;?;*;*;
1171;J1543-5459;0.377138;5.21e-14;*;*;*;
1172;J1544+4937;0.002159;2.80e-21;ELL1;GRS:4FGL_J1544.0+4939[aab+22],OPT:[tkp+1;HE[brr+13];
1173;J1544-0713;0.484130;1.14e-15;*;*;*;
1174;B1541-52;0.178554;6.03e-17;*;*;*;
1175;J1545-4550;0.003575;5.25e-20;T2;*;*;
1176;J1546-3747A;0.002606;*;BT;GC:NGC5986;*;
1177;J1546-5302;0.580840;1.18e-14;*;*;*;
1178;J1546-5925;0.007797;1.61e-20;*;*;*;
1179;J1547-0944;1.576925;2.94e-15;*;*;*;
1180;J1547-5056;0.452782;*;*;*;*;
1181;J1547-5709;0.004291;7.45e-21;ELL1;*;*;
1182;J1547-5750;0.647198;2.56e-17;*;*;*;
1183;J1547-5839;0.242190;5.94e-16;*;*;*;
1184;J1548-4821;0.145655;8.00e-19;*;*;*;
1185;J1548-4927;0.602738;4.05e-15;*;*;*;
1186;J1548-5607;0.170938;1.07e-14;*;*;*;
1187;J1549+2113;1.262471;8.54e-16;*;*;*;
1188;J1549-4848;0.288355;1.41e-14;*;*;*;
1189;J1549-57;0.737500;*;*;*;RRAT;
1190;J1549-5722;0.497772;4.70e-17;*;*;*;
1191;J1550-5242;0.749659;1.78e-14;*;*;*;
1192;J1550-5317;1.421124;9.35e-16;*;*;*;
1193;J1550-5418;2.069833;2.32e-11;*;XRS:1E_1547.0-5408[gg07],SNR:G327.24-0.1;AXP,HE;
1194;J1551-0658;0.007090;*;*;*;*;
1195;J1551-4424;0.674060;1.88e-16;*;*;*;
1196;J1551-5310;0.453448;1.95e-13;*;*;*;
1197;J1551-6214;0.198839;2.28e-17;*;*;*;
1198;J1552+5437;0.002428;2.80e-21;*;GRS:4FGL_J1553.1+5438[aab+22];HE[pbh+17];
1199;J1552-4937;0.006284;1.90e-20;*;*;*;
1200;B1550-54;1.081347;1.57e-14;*;*;*;
1201;J1554+18;*;*;*;*;RRAT[dsm+16];
1202;J1554-4854;0.464779;*;*;*;*;
1203;J1554-5209;0.125230;2.29e-15;*;*;RRAT;
1204;J1554-5512;3.418039;3.12e-14;*;*;*;
1205;J1554-5906;0.008702;*;?;*;*;
1206;J1555+01;*;*;*;*;RRAT[ttm18];
1207;J1555-0515;0.975410;2.05e-15;*;*;*;
1208;B1552-23;0.532578;6.94e-16;*;*;*;
1209;J1555-2908;0.001788;4.45e-20;ELL1;OPT:Gaia_ID6041127310076589056[gbv+21],G;HE[rnc+22];
1210;B1552-31;0.518110;6.22e-17;*;*;*;
1211;J1556-52;1.170894;*;*;*;*;
1212;J1556-5358;0.994681;1.04e-14;*;*;*;
1213;J1557-4258;0.329187;3.30e-16;*;*;*;
1214;J1557-5151;0.408155;7.54e-17;*;*;*;
1215;J1557-54;0.583758;*;*;*;*;
1216;J1558-5419;0.594575;6.04e-15;*;*;*;
1217;J1558-5756;1.122342;1.86e-13;*;*;*;
1218;J1558-67;0.267268;*;*;*;*;
1219;J1559-44;1.169890;*;*;*;*;
1220;B1556-44;0.257056;1.02e-15;*;*;*;
1221;B1555-55;0.957267;1.99e-14;*;*;*;
1222;J1600-3053;0.003598;9.50e-21;T2;GRS:4FGL_J1600.9-3054[aab+22],XRS:[pb15];HE[egc+13];
1223;B1557-50;0.192605;5.06e-15;*;*;*;
1224;B1556-57;0.194456;2.13e-15;*;*;*;
1225;J1600-5916;1.247666;8.87e-16;*;*;*;
1226;J1601-50;0.860777;*;*;*;*;
1227;J1601-5244;2.559357;7.21e-16;*;*;*;
1228;J1601-5335;0.288479;6.23e-14;*;*;*;
1229;J1602+3901;0.003708;*;*;*;*;
1230;J1602-4957;0.819990;1.59e-14;*;*;*;
1231;B1558-50;0.864286;6.94e-14;*;*;*;
1232;J1603+18;0.503000;*;*;*;RRAT[dsm+16];
1233;J1603-1655;0.714700;*;*;*;RRAT[mss+20];
1234;J1603-2531;0.283071;1.59e-15;*;*;*;
1235;B1600-27;0.778313;3.01e-15;*;*;*;
1236;J1603-3539;0.141909;1.24e-16;*;*;*;
1237;J1603-5312;0.839221;4.96e-14;*;*;*;
1238;J1603-54;0.960786;*;*;*;*;
1239;J1603-5657;0.496077;2.79e-15;*;*;*;
1240;J1603-7202;0.014842;1.56e-20;T2;*;*;
1241;J1604-3142;0.883890;2.65e-17;*;*;*;
1242;J1604-44;1.389200;*;*;*;*;
1243;J1604-4718;0.527466;4.96e-15;*;*;*;
1244;J1604-4832;0.007718;*;*;*;*;
1245;B1600-49;0.327419;1.02e-15;*;*;*;
1246;J1604-7203;0.341403;8.40e-17;*;*;*;
1247;J1605+3249;6.880000;*;*;XRS:RX_J1605.3+3249,OPT:[kkvh11];XINS,NRAD;
1248;J1605-5215;1.013609;4.75e-15;*;*;*;
1249;B1601-52;0.658013;2.56e-16;*;*;*;
1250;B1604-00;0.421816;3.06e-16;*;*;*;
1251;J1607-5140;0.342723;2.54e-15;*;*;*;
1252;J1607-6449;0.298116;2.49e-17;*;*;*;
1253;J1609-1930;1.557917;5.09e-16;*;*;*;
1254;J1609-4616;0.249609;5.01e-16;*;*;*;
1255;J1609-5158;1.279402;1.30e-14;*;*;*;
1256;B1607-13;1.018393;2.30e-16;*;*;*;
1257;J1610-17;*;*;*;*;RRAT;
1258;J1610-4938;0.227419;*;*;*;*;
1259;J1610-5006;0.481119;1.36e-14;*;*;*;
1260;J1610-5303;0.786468;2.62e-15;*;*;*;
1261;J1611-01;1.296870;*;*;*;RRAT;
1262;J1611-0114;2.593726;4.08e-15;*;*;*;
1263;J1611-29;0.009600;*;*;*;*;
1264;J1611-4811;1.296850;1.95e-15;*;*;*;
1265;J1611-4949;0.666438;5.42e-16;*;*;*;
1266;B1607-52;0.182495;5.17e-15;*;*;*;
1267;J1611-5847;0.354550;2.01e-18;*;*;*;
1268;J1612+2008;0.426646;3.73e-17;*;*;*;
1269;J1612-2408;0.923834;1.57e-15;*;*;*;
1270;J1612-49;0.192687;*;*;*;*;
1271;J1612-5022;1.368283;3.40e-17;*;*;*;
1272;J1612-5136;0.483311;3.78e-15;*;*;*;
1273;J1612-53;0.732121;*;*;*;*;
1274;J1612-55;0.846907;*;*;*;*;
1275;J1612-5805;0.615520;9.35e-16;*;*;*;
1276;B1609-47;0.382377;6.34e-16;*;*;*;
1277;J1613-5211;0.457502;1.92e-14;*;*;*;
1278;J1613-5234;0.655221;6.63e-15;*;*;*;
1279;B1612+07;1.206801;2.36e-15;*;*;*;
