#;NAME;P0;P1;BINARY;ASSOC;PSR;
;;(s);;(type);;TYPE;
215;J0605+3757;0.002728;4.80e-21;DD;GRS:3FGL_J0605.0+3756[san16];HE;
216;J0608+00;1.076200;*;*;*;*;
217;J0609+2130;0.055698;2.35e-19;*;*;*;
218;J0610-2100;0.003861;1.24e-20;ELL1;GRS:2FGL_J0610.3-2059[naa+12];HE[egc+13];
219;J0611+04;1.674430;*;*;*;*;
220;J0611+1436;0.270329;4.00e-15;*;*;*;
221;J0611+30;1.412090;*;*;*;*;
222;B0609+37;0.443871;1.50e-16;*;*;*;
223;J0613-0200;0.003062;9.59e-21;ELL1H;GRS:2FGL_J0613.8-0200[naa+12];HE;
224;J0613+3731;0.619198;3.24e-15;*;*;*;
225;B0611+22;0.334960;5.94e-14;*;*;*;
226;J0614-3329;0.003149;1.75e-20;BT;GRS:2FGL_J0614.1-3329[naa+12];HE;
227;J0614+83;1.039203;*;*;*;*;
228;J0621+0336;0.269954;7.24e-18;*;*;*;
229;J0621+1002;0.028854;4.73e-20;DD;*;*;
230;J0621+2514;0.002722;2.48e-20;ELL1;GRS:3FGL_J0621.0+2514[san16];HE;
231;J0621-55;*;*;*;*;RRAT;
232;J0622+3749;0.333208;2.54e-14;*;GRS:2FGL_J0621.9+3750;NRAD;
233;J0623+0340;0.613760;8.84e-17;*;*;*;
234;B0621-04;1.039076;8.30e-16;*;*;*;
235;J0625+10;0.498397;*;*;*;*;
236;J0627+0649;0.346523;1.70e-15;*;*;*;
237;J0627+0706;0.475874;2.98e-14;*;*;*;
238;J0627+16;2.180000;*;*;*;RRAT;
239;J0628+0909;1.241421;5.48e-16;*;*;RRAT;
240;B0626+24;0.476623;2.00e-15;*;*;*;
241;J0630-0046;0.680575;3.75e-15;*;*;*;
242;J0630+19;1.248550;*;*;*;*;
243;B0628-28;1.244419;7.12e-15;*;XRS:RX_J0630.8-2834[bjk+05];HE[to05];
244;J0631+0646;0.110979;3.62e-15;*;GRS:3FGL_J0631.6+0644[aaa+15];NRAD;
245;J0631+1036;0.287800;1.05e-13;*;GRS:2FGL_J0631.5+1035[naa+12];HE[tsn+01,waa+10];
246;J0633+0632;0.297395;7.96e-14;*;GRS:2FGL_J0633.7+0633[naa+12],XRS:Swift_;NRAD;
247;J0633+1746;0.237099;1.10e-14;*;GRS:2CG195+04(Geminga),GRS:2FGL_J0633.9+;HE;
248;J0633-2015;3.253211;3.82e-15;*;*;*;
249;J0635+0533;0.033856;*;*;OPT:Be-star;NRAD;
250;J0636-3044;0.003946;*;*;*;*;
251;J0636-4549;1.984597;3.17e-15;*;*;*;
252;J0636+5129;0.002869;3.44e-21;ELL1;XRS:[ska+16];*;
253;J0641+07;*;*;*;*;RRAT[ttm+18];
254;J0645+5158;0.008853;4.92e-21;*;XRS:[ska+16];*;
255;J0645+80;0.657873;*;*;*;*;
256;J0646+0905;0.903913;7.36e-16;*;*;*;
257;J0647+0913;1.234854;6.42e-15;*;*;*;
258;J0652-0142;0.924054;1.52e-16;*;*;*;
259;J0653+4706;0.004750;*;BT;GRS:[bph+17a];HE;
260;B0643+80;1.214441;3.80e-15;*;*;*;
261;J0656-2228;1.224754;2.67e-17;*;*;*;
262;J0656-5449;0.183157;3.19e-17;*;*;*;
263;J0658+0022;0.563295;9.15e-15;*;*;*;
264;B0656+14;0.384929;5.49e-14;*;SNR:Monogem_Ring[tbb+03],GRS:2FGL_J0659.;HE[chmm89,rfk+96,srg+97,w;
265;B0655+64;0.195671;6.85e-19;BT;*;*;
266;J0702-4956;0.665994;*;*;*;*;
267;J0709-5923;0.485268;1.26e-16;*;*;*;
268;J0711+0931;1.214090;4.00e-16;*;*;*;
269;J0711-6830;0.005491;1.49e-20;*;*;*;
270;J0719-2545;0.974725;7.28e-15;*;*;*;
271;J0720-3125;8.391116;6.98e-14;*;XRS:RX_J0720.4-3125,OPT:[kva07];XINS,NRAD;
272;J0721-2038;0.015542;4.40e-20;BT;*;*;
273;J0725-1635;0.424311;9.26e-17;*;*;*;
274;J0726-2612;3.442308;2.93e-13;*;XRS:1RXS_J072559.8-261229[skk11];*;
275;J0729-1448;0.251659;1.13e-13;*;*;*;
276;B0727-18;0.510160;1.90e-14;*;*;*;
277;J0733-2345;1.796250;5.70e-15;*;*;*;
278;J0734-1559;0.156250;1.22e-14;*;GRS:3FGL_J0734.7-1558[aaa+15];NRAD;
279;J0736-6304;4.862874;1.52e-13;*;*;RRAT;
280;J0737-2202;0.320366;5.47e-15;*;*;*;
281;J0737-3039A;0.022699;1.76e-18;DDS;*;HE[cgm+07,gkj+13];
282;J0737-3039B;2.773461;8.92e-16;DD;*;*;
283;B0736-40;0.374920;1.62e-15;*;*;*;
284;J0738+6904;6.827693;2.70e-14;*;*;*;
285;J0740+41;0.003139;*;*;*;*;
286;J0740+6620;0.002886;1.22e-20;ELL1H;*;HE[lsg+15];
287;B0740-28;0.166762;1.68e-14;*;GRS:2FGL_J0742.4-2821[naa+12];HE;
288;B0743-53;0.214836;2.73e-15;*;*;*;
289;J0746-4529;2.791025;1.67e-14;*;*;*;
290;J0747+6646;0.407701;6.78e-16;*;*;*;
291;J0749-4247;1.095452;9.77e-16;*;*;*;
292;J0749-68;0.915171;*;*;*;*;
