#;NAME;P0;P1;BINARY;ASSOC;PSR;
;;(s);;(type);;TYPE;
871;J1531-4012;0.356849;9.63e-17;*;*;*;
872;J1531-5610;0.084202;1.37e-14;*;*;*;
873;B1530+27;1.124836;7.80e-16;*;*;*;
874;J1532-5308;0.443825;6.50e-17;*;*;*;
875;J1532-56;0.522977;*;*;*;*;
876;J1534-4428;1.221426;1.80e-16;*;*;*;
877;J1534-46;0.364835;*;*;*;RRAT;
878;B1530-53;1.368881;1.43e-15;*;*;*;
879;B1530-539;0.289689;1.54e-15;*;*;*;
880;J1535-4114;0.432866;4.07e-15;*;*;*;
881;J1535-4415;0.468402;4.05e-17;*;*;*;
882;J1535-5450;0.566734;1.43e-14;*;*;*;
883;J1535-5848;0.307178;2.72e-15;*;*;*;
884;J1536-3602;1.319759;7.90e-16;*;*;*;
885;J1536-4948;0.003080;*;*;GRS:2FGL_J1536.4-4949[naa+12];HE;
886;J1536-5433;0.881438;1.91e-15;*;*;*;
887;J1536-5907;0.557841;1.37e-15;*;*;*;
888;B1534+12;0.037904;2.42e-18;DD;XRS:[kpg06b];*;
889;J1537-4912;0.301311;1.93e-15;*;*;*;
890;J1537-5153;1.528124;4.17e-15;*;*;*;
891;J1537-5645;0.430464;2.78e-15;*;*;*;
892;J1538+2345;3.449385;6.89e-15;*;*;RRAT;
893;J1538-5438;0.276726;1.42e-15;*;*;*;
894;J1538-5519;0.395731;4.10e-17;*;*;*;
895;J1538-5551;0.104675;3.21e-15;*;*;*;
896;J1538-5621;1.908494;7.31e-15;*;*;*;
897;J1538-5638;0.843980;7.12e-15;*;*;*;
898;J1538-5732;0.341213;4.55e-15;*;*;*;
899;J1538-5750;0.506568;4.20e-17;*;*;*;
900;J1539-4828;1.272842;1.27e-15;*;*;*;
901;J1539-5521;1.004958;7.28e-16;*;*;*;
902;B1535-56;0.243392;4.85e-15;*;*;*;
903;J1539-6322;1.630846;2.02e-16;*;*;*;
904;J1540-5736;0.612916;4.21e-16;*;*;*;
905;J1541-42;*;*;*;*;RRAT;
906;J1541-5535;0.295838;7.50e-14;*;*;*;
907;J1542-5034;0.599245;3.97e-15;*;*;*;
908;J1542-5133;1.783865;5.89e-16;*;*;*;
909;J1542-5303;1.207568;7.78e-14;*;*;*;
910;B1540-06;0.709064;8.80e-16;*;*;*;
911;B1541+09;0.748448;4.32e-16;*;*;*;
912;J1543-5013;0.644255;1.01e-14;*;*;*;
913;J1543-5149;0.002057;1.62e-20;ELL1;GRS:[nbb+14];*;
914;J1543-5459;0.377119;5.20e-14;*;*;*;
915;J1544+4937;0.002159;2.93e-21;ELL1;GRS:Fermi_J1544.2+4941[brr+13],OPT:[tkp+;HE;
916;B1541-52;0.178554;6.07e-17;*;*;*;
917;J1545-4550;0.003575;5.25e-20;BT;*;*;
918;J1546-3747A;0.002606;*;BT;GC:NGC5986;*;
919;J1546-5302;0.580840;1.18e-14;*;*;*;
920;J1546-59;0.007800;*;*;*;*;
921;J1547-0944;1.576925;2.94e-15;*;*;*;
922;J1547-5750;0.647198;2.56e-17;*;*;*;
923;J1547-5839;0.242190;5.94e-16;*;*;*;
924;J1548-4821;0.145655;8.00e-19;*;*;*;
925;J1548-4927;0.602738;4.05e-15;*;*;*;
926;J1548-5607;0.170934;1.07e-14;*;*;*;
927;J1549+2113;1.262471;8.54e-16;*;*;*;
928;J1549-4848;0.288347;1.41e-14;*;*;*;
929;J1549-57;0.737500;*;*;*;RRAT;
930;J1549-5722;0.497772;4.70e-17;*;*;*;
931;J1550-5242;0.749659;1.78e-14;*;*;*;
932;J1550-5317;1.421124;9.35e-16;*;*;*;
933;J1550-5418;2.069833;2.32e-11;*;XRS:1E_1547.0-5408[gg07],SNR:G327.24-0.1;AXP,HE;
934;J1551-0658;0.007090;*;*;GRS:2FGL_J1549.7-0657[naa+12];HE;
935;J1551-4424;0.674060;1.88e-16;*;*;*;
936;J1551-5310;0.453394;1.95e-13;*;*;*;
937;J1552-4937;0.006284;1.90e-20;*;*;*;
938;J1552+5437;0.002428;2.80e-21;*;GRS:3FGL_J1553.1+5437[pbh+17];HE[pbh+17];
939;J1552-62;0.198800;*;*;*;*;
940;B1550-54;1.081328;1.57e-14;*;*;*;
941;J1554+18;*;*;*;*;RRAT[dsm+16];
942;J1554-5209;0.125230;2.29e-15;*;*;RRAT;
943;J1554-5512;3.418039;3.12e-14;*;*;*;
944;J1555-0515;0.975410;2.05e-15;*;*;*;
945;B1552-23;0.532578;6.94e-16;*;*;*;
946;B1552-31;0.518110;6.22e-17;*;*;*;
947;J1556+01;*;*;*;*;RRAT[ttm+18];
948;J1556-5358;0.994681;1.04e-14;*;*;*;
949;J1557-4258;0.329187;3.30e-16;*;*;*;
950;J1558-5419;0.594575;6.04e-15;*;*;*;
951;J1558-5756;1.122342;1.86e-13;*;*;*;
952;J1558-67;0.267268;*;*;*;*;
953;J1559-44;1.169890;*;*;*;*;
954;B1556-44;0.257056;1.02e-15;*;*;*;
955;B1555-55;0.957242;2.05e-14;*;*;*;
956;J1600-3053;0.003598;9.50e-21;DDH;GRS:2FGL_J1600.7-3053[naa+12],XRS:[pb15];HE[egc+13];
957;B1557-50;0.192601;5.06e-15;*;*;*;
958;B1556-57;0.194454;2.13e-15;*;*;*;
959;J1600-5916;1.247666;8.87e-16;*;*;*;
960;J1601-50;0.860777;*;*;*;*;
961;J1601-5244;2.559357;7.21e-16;*;*;*;
962;J1601-5335;0.288457;6.24e-14;*;*;*;
963;J1602-4957;0.819990;1.59e-14;*;*;*;
964;B1558-50;0.864227;6.96e-14;*;*;*;
965;J1603+18;0.503000;*;*;*;RRAT[dsm+16];
966;J1603-2531;0.283070;1.59e-15;*;*;*;
967;B1600-27;0.778313;3.01e-15;*;*;*;
968;J1603-3539;0.141909;1.24e-16;*;*;*;
969;J1603-5657;0.496077;2.79e-15;*;*;*;
970;J1603-7202;0.014842;1.56e-20;ELL1;*;*;
971;J1604-31;0.883883;*;*;*;*;
972;J1604-44;1.389200;*;*;*;*;
973;J1604-4718;0.527466;4.96e-15;*;*;*;
974;B1600-49;0.327418;1.02e-15;*;*;*;
975;J1604-7203;0.341403;8.40e-17;*;*;*;
976;J1605+3249;6.880000;*;*;XRS:RX_J1605.3+3249,OPT:[kkvh11];XINS,NRAD;
977;J1605-5215;1.013609;4.75e-15;*;*;*;
978;B1601-52;0.658013;2.56e-16;*;*;*;
979;B1604-00;0.421816;3.06e-16;*;*;*;
980;J1607-5140;0.342723;2.54e-15;*;*;*;
981;J1607-6449;0.298116;2.49e-17;*;*;*;
982;J1609-1930;1.557917;5.09e-16;*;*;*;
983;J1609-4616;0.249609;5.01e-16;*;*;*;
984;J1609-5158;1.279402;1.30e-14;*;*;*;
985;B1607-13;1.018393;2.30e-16;*;*;*;
986;J1610-17;*;*;*;*;RRAT;
987;J1610-5006;0.481119;1.36e-14;*;*;*;
988;J1610-5303;0.786468;2.62e-15;*;*;*;
989;J1611-01;1.296870;*;*;*;RRAT;
990;J1611-4811;1.296850;1.95e-15;*;*;*;
991;J1611-4949;0.666438;5.42e-16;*;*;*;
992;B1607-52;0.182492;5.17e-15;*;*;*;
993;J1611-5847;0.354550;2.01e-18;*;*;*;
994;J1612+2008;0.426646;3.73e-17;*;*;*;
995;J1612-2408;0.923834;1.57e-15;*;*;*;
996;J1612-49;0.192687;*;*;*;*;
997;J1612-5136;0.483311;3.78e-15;*;*;*;
998;J1612-55;0.846907;*;*;*;*;
999;J1612-5805;0.615520;9.35e-16;*;*;*;
1000;B1609-47;0.382376;6.32e-16;*;*;*;
1001;J1613-5211;0.457502;1.92e-14;*;*;*;
1002;J1613-5234;0.655221;6.63e-15;*;*;*;
1003;B1612+07;1.206801;2.36e-15;*;*;*;
1004;J1614-2230;0.003151;9.62e-21;ELL1H;GRS:2FGL_J1614.5-2230[naa+12],OPT:[bk11];HE[aaa+09f];
1005;J1614-23;0.033500;*;*;*;*;
1006;J1614-38;0.464100;*;*;*;*;
1007;J1614-3937;0.407292;1.59e-16;*;*;*;
1008;B1610-50;0.231694;4.95e-13;*;*;*;
1009;J1614-5144;1.534008;7.44e-15;*;*;*;
1010;J1614-5402;0.572592;2.90e-17;*;*;*;
1011;B1612-29;2.477568;1.58e-15;*;*;*;
1012;J1615-5444;0.360958;3.38e-16;*;*;*;
1013;B1611-55;0.791526;2.00e-15;*;*;*;
1014;J1616-5017;0.491384;4.66e-14;*;*;*;
1015;J1616-5109;1.219594;1.91e-14;*;*;*;
1016;J1616-5208;1.025831;2.89e-14;*;*;*;
1017;J1617-4216;3.428466;1.81e-14;*;*;*;
1018;J1617-4608;0.567080;1.65e-14;*;*;*;
1019;J1617-5055;0.069357;1.35e-13;*;GRS:J1616-508[aab+06];HE[tkt+98];
1020;J1618-36;0.005779;*;*;*;*;
1021;J1618-3921;0.011987;5.41e-20;T2;*;*;
1022;J1618-4723;0.203553;1.99e-15;*;*;*;
1023;J1619-42;1.023152;*;*;*;*;
1024;J1620-4927;0.171935;1.05e-14;*;GRS:2FGL_J1620.8-4928[naa+12];NRAD;
1025;J1620-5414;1.156360;6.74e-17;*;*;*;
1026;J1621-5039;1.084020;1.30e-14;*;*;*;
1027;J1621-5243;0.371924;7.68e-16;*;*;*;
1028;J1622-0315;0.003845;1.16e-20;BT;GRS:3FGL_J1622.9-0312[san16];HE;
1029;J1622-3751;0.731463;2.57e-15;*;*;*;
1030;J1622-4332;0.916938;1.56e-15;*;*;*;
1031;J1622-4347;0.457681;5.05e-15;*;*;*;
1032;J1622-4802;0.265072;3.07e-16;*;*;*;
1033;J1622-4845;0.735092;1.10e-16;*;*;*;
1034;J1622-4944;1.072968;1.71e-14;*;*;*;
1035;J1622-4950;4.327020;2.78e-12;*;XRS:CXOU_J162244.8-495054,SNR:G333.9+0.0;AXP,HE;
1036;J1622-6617;0.023623;5.88e-20;ELL1;*;*;
1037;J1623-0841;0.503015;1.96e-15;*;*;RRAT;
1038;B1620-09;1.276446;2.58e-15;*;*;*;
1039;B1620-26;0.011076;6.71e-19;BT;GC:M4,XRS:[pkgw07];*;
1040;B1620-42;0.364590;1.02e-15;*;*;*;
1041;J1623-4949;0.725732;4.21e-14;*;*;*;
1042;J1623-5005;0.085072;4.16e-15;*;GRS:3FGL_J1622.9-5004[aaa+15];NRAD;
1043;J1624-4041;0.167861;4.72e-15;*;GRS:3FGL_J1624.2-4041[aaa+15];NRAD;
1044;J1624-4411;0.233164;7.99e-16;*;*;*;
1045;J1624-4613;0.871243;6.07e-17;*;*;*;
1046;J1624-4721;0.448723;4.15e-15;*;*;*;
1047;J1624+8643;0.395763;2.55e-16;*;*;*;
1048;J1625-4048;2.355278;4.43e-16;*;*;*;
1049;J1625-4904;0.460339;1.68e-14;*;*;*;
1050;J1625-4913;0.355856;6.65e-15;*;*;*;
1051;J1626-44;0.308354;*;*;*;*;
1052;J1626-4537;0.370141;8.28e-15;*;*;*;
1053;J1626-4807;0.293928;1.75e-14;*;*;*;
1054;J1626-6621;0.450868;7.66e-16;*;*;*;
1055;J1627+1419;0.490857;3.93e-16;*;*;*;
1056;J1627-4706;0.140746;1.73e-15;*;*;*;
1057;J1627-4845;0.612331;3.64e-15;*;*;*;
1058;J1627-49;0.623678;*;*;*;*;
1059;J1627-51;0.439684;*;*;*;*;
1060;J1627-5547;0.352464;7.38e-16;*;*;*;
1061;J1627-5936;0.354234;8.00e-18;*;*;*;
1062;J1628-3205;0.003210;*;BT;GRS:2FGL_J1628.3-3206[naa+12],OPT:[lht14;HE;
1063;J1628+4406;0.181178;1.94e-17;*;*;*;
1064;J1628-4804;0.865971;1.24e-15;*;*;*;
1065;J1628-4828;4.137539;1.75e-14;*;*;*;
1066;J1629-3636;2.988193;7.00e-15;*;*;*;
1067;J1629-6902;0.006001;1.00e-20;*;*;*;
1068;J1630+3734;0.003318;1.08e-20;ELL1;GRS:3FGL_J1630.2+3733[san16];HE;
1069;J1630-4719;0.559071;1.42e-14;*;*;*;
1070;B1626-47;0.575971;2.23e-14;*;*;*;
1071;J1631-1612;0.677684;1.10e-15;*;*;*;
1072;J1631-4155;0.551241;8.81e-18;*;*;*;
1073;J1632-1013;0.717637;6.60e-17;*;*;*;
1074;J1632-4509;1.046810;1.49e-14;*;*;*;
1075;J1632-4621;1.709154;7.60e-14;*;*;*;
1076;J1632-4757;0.228564;1.51e-14;*;*;*;
1077;J1632-4818;0.813453;6.50e-13;*;SNR:G336.1-0.2(?)[mbc+02];*;
1078;J1633-2009;0.935557;1.07e-15;*;*;*;
1079;B1630-44;0.436507;6.20e-15;*;*;*;
1080;J1633-4805;0.710830;7.69e-14;*;*;*;
1081;B1629-50;0.352142;3.79e-15;*;*;*;
1082;J1634-49;0.684936;*;*;*;*;
1083;J1634-5107;0.507356;1.57e-15;*;*;*;
1084;J1634-5640;0.224201;4.10e-17;*;*;*;
1085;J1635-1511;1.179387;2.32e-16;*;*;*;
1086;B1633+24;0.490507;1.19e-16;*;*;*;
1087;J1635-26;0.510500;*;*;*;*;
1088;J1635-4513;1.594746;3.60e-15;*;*;*;
1089;J1635-4735;2.594578;*;*;XRS:SGR_1627-41,SNR:G337.0-0.1(?)[wkv+99;AXP,NRAD;
1090;J1635-4944;0.671964;8.79e-15;*;*;*;
1091;B1630-59;0.529121;1.37e-15;*;*;*;
1092;J1636-4440;0.206649;4.67e-14;*;*;*;
1093;J1636-4803;1.204644;2.07e-14;*;*;*;
1094;J1636-4933;0.430367;1.51e-15;*;*;*;
1095;J1637-4335;0.771367;3.62e-15;*;*;*;
1096;J1637-4450;0.252870;5.75e-16;*;*;*;
1097;B1634-45;0.118771;3.19e-15;*;*;*;
1098;J1637-46;0.493091;*;*;*;*;
1099;J1637-4642;0.154027;5.92e-14;*;*;*;
1100;J1637-4721;1.165741;4.44e-15;*;*;*;
1101;J1637-4816;0.837365;5.83e-15;*;*;*;
1102;J1638-3815;0.698261;7.70e-17;*;*;*;
1103;J1638-3951;0.771130;5.90e-16;*;*;*;
1104;J1638-42;0.510900;*;*;*;*;
1105;J1638-4344;1.121944;2.50e-17;*;*;*;
1106;J1638-44;0.568057;*;*;*;*;
1107;J1638-4417;0.117802;1.61e-15;*;*;*;
1108;J1638-4608;0.278137;5.15e-14;*;*;*;
1109;J1638-4725;0.763933;4.79e-15;MSS;*;*;
1110;J1638-5226;0.340503;2.65e-15;*;*;*;
1111;J1639-4359;0.587559;1.50e-17;*;*;*;
1112;B1635-45;0.264558;2.89e-15;*;*;*;
1113;J1640+2224;0.003163;2.82e-21;DDH;GRS:[hsg+14];HE;
1114;J1640-4631;0.206443;9.76e-13;*;SNR:PWN:G338.3-0.0[wg96],GRS:HESS_J1640-;NRAD;
1115;J1640-4648;0.178352;8.06e-16;*;*;*;
1116;B1636-47;0.517405;4.20e-14;*;*;*;
1117;J1640-4951;0.739099;3.34e-16;*;*;*;
1118;J1641-2347;1.091008;4.11e-17;*;*;*;
1119;B1639+36A;0.010378;*;*;GC:M13;*;
1120;B1639+36B;0.003528;*;BT;GC:M13;*;
1121;J1641+3627C;0.003722;*;*;GC:M13;*;
1122;J1641+3627D;0.003118;*;BT;GC:M13;*;
1123;J1641+3627E;0.002487;*;BT;GC:M13;*;
1124;J1641-5317;0.175106;3.70e-15;*;GRS:3FGL_J1641.5-5319;NRAD;
1125;J1641+8049;0.002021;8.95e-21;ELL1;OPT:[lsk+18];*;
1126;J1643-1224;0.004622;1.85e-20;DD;*;*;
1127;J1643-4505;0.237383;3.18e-14;*;*;*;
1128;J1643-4522;1.347899;8.28e-15;*;*;*;
1129;J1643-4550;0.717508;3.00e-14;*;*;*;
1130;J1644-44;0.173911;*;*;*;*;
1131;B1641-45;0.455060;2.01e-14;*;*;*;
1132;J1644-46;0.250941;*;*;*;*;
1133;J1644-4657;0.125962;7.50e-16;*;*;*;
1134;B1642-03;0.387690;1.78e-15;*;*;*;
1135;J1645+1012;0.410861;8.13e-17;*;*;*;
1136;J1646-2142;0.005850;*;BT;GRS:2FGL_J1645.7-2148c[naa+12];HE;
1137;J1646-4308;0.840680;1.10e-16;*;*;*;
1138;B1643-43;0.231603;1.13e-13;*;SNR:G341.2+0.9(?)[fgw94];*;
1139;J1646-5123;0.530075;2.10e-15;*;*;*;
1140;B1641-68;1.785611;1.70e-15;*;*;*;
1141;J1647-3607;0.212316;1.29e-16;*;*;RRAT;
1142;J1647-4552;10.610656;8.33e-13;*;XRS:CXO_J164710.2-455216;AXP,NRAD;
1143;J1647+6608;1.599798;7.84e-15;*;*;*;
1144;J1648-3256;0.719455;3.53e-15;*;*;*;
1145;J1648-4458;0.629632;1.85e-15;*;*;*;
1146;J1648-4611;0.164950;2.37e-14;*;GRS:2FGL_J1648.4-4612[naa+12](?);*;
1147;J1648-6044;0.583765;4.29e-16;*;*;*;
1148;J1649+2533;1.015257;5.59e-16;*;*;*;
1149;J1649-3805;0.262026;3.67e-17;*;*;*;
1150;J1649-3935;0.770910;3.91e-17;*;*;*;
1151;J1649-4349;0.870712;4.40e-17;*;*;*;
1152;J1649-4653;0.557019;4.97e-14;*;*;*;
1153;J1649-4729;0.297692;6.55e-15;*;*;*;
1154;J1649-5553;0.613571;1.70e-15;*;*;*;
1155;J1650-1654;1.749552;3.20e-15;*;*;*;
1156;J1650-4126;0.308918;1.98e-17;*;*;*;
1157;J1650-4341;0.309398;1.67e-17;*;*;*;
1158;J1650-4502;0.380870;1.61e-14;*;*;*;
1159;J1650-4601;0.127123;1.51e-14;*;GRS:3FGL_J1650.3-4600[aaa+15];NRAD;
1160;J1650-4921;0.156399;1.82e-15;*;*;*;
1161;B1648-17;0.973394;3.04e-15;*;*;*;
1162;B1648-42;0.844081;4.81e-15;*;*;*;
1163;J1651-4519;0.517443;8.19e-15;*;*;*;
1164;B1647-52;0.635056;1.81e-15;*;*;*;
1165;B1647-528;0.890534;2.07e-15;*;*;*;
1166;J1651-7642;1.755311;1.36e-15;*;*;*;
1167;J1652-1400;0.305447;1.76e-17;*;*;*;
1168;B1649-23;1.703739;3.16e-15;*;*;*;
1169;J1652+2651;0.915803;6.54e-16;*;*;*;
1170;J1652-4406;7.707183;9.50e-15;*;*;RRAT;
1171;J1652-48;0.003785;*;*;*;*;
1172;J1653-2054;0.004129;1.12e-20;ELL1;*;*;
1173;B1650-38;0.305037;2.79e-15;*;*;*;
1174;J1653-4030;1.019372;4.36e-16;*;*;*;
1175;J1653-4249;0.612558;4.81e-15;*;*;*;
1176;J1653-4315;0.419280;1.50e-17;*;*;*;
1177;J1653-4854;3.059510;3.45e-15;*;*;*;
1178;J1654-23;0.545360;*;*;*;RRAT;
1179;J1654-26;1.623730;*;*;*;*;
1180;J1654-2713;0.791822;1.68e-16;*;*;*;
1181;J1654-3710;0.939165;7.35e-16;*;*;*;
1182;J1654-4140;1.273945;1.30e-16;*;*;*;
1183;J1654-4245;1.101555;5.12e-14;*;*;*;
1184;J1655-3048;0.542936;3.66e-17;*;*;*;
1185;J1655-3844;1.193439;2.00e-15;*;*;*;
1186;J1656+00;1.497850;*;*;*;*;
1187;J1656-3621;0.730134;1.28e-15;*;*;*;
1188;J1657-4432;0.609607;8.20e-15;*;*;*;
1189;J1658-4306;1.166449;4.28e-14;*;*;*;
1190;J1658-47;0.369365;*;*;*;*;
1191;J1658-4958;0.416874;3.86e-15;*;*;*;
1192;J1658-5324;0.002439;1.12e-20;*;GRS:3FGL_J1658.4-5323[aaa+15],XRS:[pb15];HE;
1193;B1657-13;0.640958;6.18e-16;*;*;*;
1194;J1659-4316;0.474381;1.71e-16;*;*;*;
1195;J1659-4439;0.353293;2.50e-17;*;*;*;
1196;J1700-3312;1.358307;4.71e-15;*;*;*;
1197;J1700-3611;1.494091;4.32e-15;*;*;*;
1198;J1700-3919;0.560504;5.03e-18;*;*;*;
1199;J1700-4012;0.283792;9.91e-17;*;*;*;
1200;J1700-4422;0.755535;4.00e-17;*;*;*;
1201;J1700-4939;0.578363;1.08e-15;*;*;*;
1202;J1701-3006A;0.005242;-1.30e-19;BT;GC:M62(NGC6266);*;
1203;J1701-3006B;0.003594;-3.48e-19;BT;GC:M62(NGC6266);*;
1204;J1701-3006C;0.007613;-6.41e-20;BT;GC:M62(NGC6266);*;
1205;J1701-3006D;0.003418;1.26e-19;BT;GC:M62(NGC6266);*;
1206;J1701-3006E;0.003234;3.10e-19;BT;GC:M62(NGC6266);*;
1207;J1701-3006F;0.002295;2.22e-19;BT;GC:M62(NGC6266);*;
1208;J1701-3130;0.291341;5.60e-17;*;*;*;
1209;B1658-37;2.454609;1.11e-14;*;*;*;
1210;B1657-45;0.322909;5.19e-16;*;*;*;
1211;J1701-4958;0.804304;1.10e-16;*;*;*;
1212;J1702-3932;0.390328;3.78e-16;*;*;*;
1213;J1702-4128;0.182136;5.23e-14;*;*;*;
1214;J1702-4217;0.227565;1.14e-17;*;*;*;
1215;J1702-4306;0.215507;9.79e-15;*;*;*;
1216;J1702-4310;0.240524;2.24e-13;*;*;*;
1217;J1702-4428;2.123506;3.30e-15;*;*;*;
1218;J1703-18;1.270240;*;*;*;*;
1219;B1700-18;0.804341;1.73e-15;*;*;*;
1220;B1700-32;1.211785;6.60e-16;*;*;*;
1221;J1703-38;6.443000;*;*;*;RRAT;
1222;J1703-4442;1.747293;1.43e-14;*;*;*;
1223;J1703-4851;1.396401;5.08e-15;*;*;*;
1224;B1659-60;0.306323;9.10e-16;*;*;*;
1225;J1705-04;0.237480;*;*;*;RRAT;
1226;J1705-1903;0.002480;*;*;*;*;
1227;B1702-19;0.298987;4.14e-15;*;GRS:[hsg+14];HE;
1228;J1705-3423;0.255426;1.08e-15;*;*;*;
1229;J1705-3936;0.854482;1.93e-14;*;*;*;
1230;J1705-3950;0.318941;6.06e-14;*;*;*;
1231;J1705-4108;0.861067;3.47e-14;*;*;*;
1232;J1705-4331;0.222561;7.12e-17;*;*;*;
1233;J1705-52;0.230700;*;*;*;*;
1234;J1705-6135;0.808546;6.00e-17;*;*;*;
1235;J1706-3839;0.586287;3.00e-15;*;*;*;
1236;J1706-4310;0.616979;6.51e-15;*;*;*;
1237;J1706+59;1.476687;*;*;*;*;
1238;J1706-6118;0.361921;2.92e-16;*;*;*;
1239;B1703-40;0.581017;1.92e-15;*;*;*;
1240;J1707-4341;0.890594;5.70e-15;*;*;*;
1241;J1707-4417;5.763777;1.16e-14;*;*;RRAT;
1242;J1707-4729;0.266474;1.56e-15;*;*;*;
1243;J1708+02;0.410772;*;*;*;*;
1244;J1708-3426;0.692113;4.20e-15;*;*;*;
1245;J1708-3506;0.004505;1.14e-20;DD;*;*;
1246;J1708-3641;0.587567;1.35e-16;*;*;*;
1247;J1708-3827;1.225782;8.60e-15;*;*;*;
1248;J1708-4008;11.006262;1.96e-11;*;XRS:RXSJ170849.0-400910;AXP,NRAD;
1249;J1708-4522;1.297837;2.61e-15;*;*;*;
1250;J1708-52;0.449620;*;*;*;*;
1251;B1701-75;1.191024;1.88e-15;*;*;*;
1252;B1706-16;0.653054;6.31e-15;*;*;*;
1253;J1709+2313;0.004631;3.63e-21;BT;*;*;
1254;J1709-3626;0.447857;2.27e-15;*;*;*;
1255;J1709-3841;0.586986;7.86e-15;*;*;*;
1256;J1709-43;*;*;*;*;RRAT;
1257;J1709-4342;1.735898;8.00e-16;*;*;*;
1258;J1709-4401;0.865235;7.37e-15;*;*;*;
1259;B1706-44;0.102459;9.30e-14;*;SNR:G343.1-2.3(?)[mop93],GRS:HESS_J1708-;HE[ghd02,aaa+10m];
1260;J1710-2616;0.954158;2.00e-17;*;*;*;
1261;J1710-37;0.792659;*;*;*;*;
1262;J1710-4148;0.286561;1.02e-16;*;*;*;
1263;J1710+4923;0.003220;1.82e-20;*;*;*;
1264;B1709-15;0.868804;1.10e-15;*;*;*;
1265;J1711-3826;0.465365;7.41e-15;*;*;*;
1266;J1711-4322;0.102618;2.67e-17;ELL1;*;*;
1267;B1707-53;0.899218;1.55e-14;*;*;*;
1268;J1712-2715;0.255360;1.28e-15;*;*;*;
1269;J1712-391;0.778149;*;*;*;*;
1270;J1712-392;0.092528;*;*;*;*;
1271;J1713+0747;0.004570;8.53e-21;DDKH;GRS:2FGL_J1714.0+0751[naa+12];HE[egc+13];
1272;J1713-3844;1.600114;1.77e-13;*;*;*;
1273;J1713-3949;0.392451;*;*;*;*;
1274;J1714-1054;0.696279;5.88e-17;*;*;*;
1275;J1714-3810;3.824936;5.88e-11;*;XRS:CXOU_J171405.7-381031,SNR:G348.7+0.3;AXP,NRAD;
1276;J1715-3247;1.260214;9.20e-17;*;*;*;
1277;J1715-3700;0.779628;1.46e-16;*;*;*;
1278;J1715-3859;0.928108;4.40e-15;*;*;*;
1279;J1715-3903;0.278481;3.77e-14;*;*;*;
1280;J1715-4034;2.072153;3.01e-15;*;*;*;
1281;J1715-4254;0.573745;8.76e-16;*;*;*;
1282;J1716-3720;0.630314;1.80e-14;*;*;*;
1283;J1716-4005;0.311813;2.87e-15;*;*;*;
1284;J1716-4111;1.036067;2.88e-15;*;*;*;
1285;J1716-4711;0.555824;8.33e-16;*;*;*;
1286;J1717+03;3.901000;*;*;*;RRAT[dsm+16];
1287;B1714-34;0.656299;9.80e-15;*;*;*;
1288;J1717-3737;0.682419;5.29e-15;*;*;*;
1289;J1717-3847;1.149499;8.20e-16;*;*;*;
1290;J1717-3953;1.085521;3.30e-17;*;*;*;
1291;J1717-4043;0.397857;1.22e-14;*;*;*;
1292;J1717-40435;0.349929;1.75e-15;*;*;*;
1293;B1713-40;0.887719;3.68e-15;*;*;*;
1294;J1717-5800;0.321793;1.96e-16;*;*;*;
1295;J1718-3714;1.289379;2.62e-14;*;*;*;
1296;J1718-3718;3.378574;1.61e-12;*;*;*;
1297;J1718-3825;0.074670;1.32e-14;*;GRS:2FGL_J1718.3-3827[naa+12],GRS:HESS_J;HE[waa+10];
1298;J1718-41;0.548419;*;*;*;*;
1299;J1718-4539;0.590473;7.51e-15;*;*;*;
1300;J1719-1438;0.005790;8.04e-21;ELL1;*;*;
1301;J1719-23;0.454000;*;*;*;*;
1302;B1715-40;0.189094;1.67e-15;*;*;*;
1303;J1719-4302;0.235475;3.92e-16;*;*;*;
1304;J1720+00;3.357000;*;*;*;RRAT[dsm+16];
1305;B1718-02;0.477715;8.28e-17;*;*;*;
1306;B1717-16;1.565601;5.80e-15;*;*;*;
1307;J1720+2150;1.615664;7.40e-16;*;*;*;
1308;J1720-2446;0.874265;5.93e-16;*;*;*;
1309;B1717-29;0.620448;7.46e-16;*;*;*;
1310;J1720-36;0.092132;*;*;*;*;
1311;J1720-3659;0.351125;3.27e-17;*;*;*;
1312;B1718-19;1.004037;1.62e-15;ELL1;GC:NGC6342;*;
1313;J1721-1939;0.404040;1.28e-16;*;*;*;
1314;J1721-2457;0.003497;5.54e-21;*;*;*;
1315;J1721+35;0.821900;*;*;*;*;
1316;B1718-35;0.280424;2.52e-14;*;*;*;
1317;B1718-32;0.477158;6.46e-16;*;*;*;
1318;B1718-36;0.399183;4.46e-15;*;*;*;
1319;B1719-37;0.236173;1.09e-14;*;*;*;
1320;J1722-4400;0.218554;3.74e-16;*;*;*;
1321;J1723-2837;0.001856;7.54e-21;ELL1;OPT:2MASS_J17232318-2837571[cls+13];*;
1322;J1723-2852;0.625034;9.00e-16;*;*;*;
1323;J1723-3659;0.202722;8.01e-15;*;*;*;
1324;J1723-38;0.765796;*;*;*;*;
1325;J1724-3149;0.948237;7.25e-15;*;*;*;
1326;J1724-35;1.421990;*;*;*;RRAT;
1327;J1724-3505;1.221708;2.11e-14;*;*;*;
1328;J1724-4500;1.309109;3.51e-15;*;*;*;
1329;J1725-0732;0.239919;4.30e-16;*;*;*;
1330;J1725-2852;1.257788;1.99e-15;*;*;*;
