#;NAME;P0;P1;ASSOC;PSR;
;;(s);;;TYPE;
116;J1311-3430;0.002560;2.10e-20;GRS:4FGL_J1311.7-3430[aab+22],OPT:[rom12;HE;
117;J1312+0051;0.004228;1.75e-20;GRS:4FGL_J1312.7+0050[aab+22];HE;
118;B1310+18;0.033163;*;GC:M53(NGC5024);*;
119;J1312+1810B;0.006242;-1.75e-20;GC:M53(NGC5024)[pqm+21];*;
120;J1312+1810D;0.006070;2.26e-20;GC:M53(NGC5024)[pqm+21];*;
121;J1312+1810E;0.003972;-7.57e-21;GC:M53(NGC5024)[lpz+23];*;
122;J1317-0157;0.002908;5.50e-21;*;*;
123;J1325-6253;0.028969;4.80e-20;*;*;
124;J1326-4728B;0.004792;-5.43e-20;GC:OmegaCen(NGC5139)[djk+20],XRS:J132649;*;
125;J1327-0755;0.002678;1.80e-21;*;HE[sbc+19];
126;J1337-6423;0.009423;2.47e-20;*;*;
127;J1338-6425;0.004088;*;*;*;
128;J1342+2822A;0.002545;*;GC:M3(NGC5272);*;
129;J1342+2822B;0.002389;1.86e-20;GC:M3(NGC5272),OPT:[cfi+19];*;
130;J1342+2822D;0.005443;*;GC:M3(NGC5272);*;
131;J1400-1431;0.003084;7.23e-21;GRS:4FGL_J1400.6-1432[aab+22],OPT:[skm+1;HE[aab+22];
132;J1402+1306;0.005892;1.35e-20;GRS:4FGL_J1402.7+1306[aab+22];HE[saa+23];
133;J1405-4656;0.007602;2.79e-20;*;*;
134;J1411+2551;0.062453;9.60e-20;*;*;
135;J1413-5936;0.021676;*;*;*;
136;J1417-4402;0.002664;*;GRS:4FGL_J1417.6-4403[aab+22],XRS:[scc+1;HE;
137;J1420-5625;0.034117;6.75e-20;*;*;
138;J1421-4409;0.006386;1.24e-20;*;*;
139;J1431-4715;0.002012;1.41e-20;GRS:4FGL_J1431.4-4711[aab+22];HE[btb+15],HE[aab+22];
140;J1431-5740;0.004111;6.42e-21;*;*;
141;J1435-6100;0.009348;2.45e-20;*;*;
142;J1439-5501;0.028635;1.42e-19;GRS:4FGL_J1440.2-5505[aab+22];HE[fsk+04],HE[aab+22];
143;J1446-4701;0.002195;9.81e-21;GRS:4FGL_J1446.6-4701[aab+22];HE;
144;J1454-5846;0.045249;8.17e-19;*;*;
145;J1455-3330;0.007987;2.43e-20;GRS:4FGL_J1455-3331[aab+22];HE[lnl+95],HE[aab+22];
146;J1502-6752;0.026744;3.15e-19;*;*;
147;J1510-5254;0.004779;*;*;*;
148;J1513-2550;0.002119;2.16e-20;GRS:4FGL_J1513.4-2549[aab+22];HE;
149;J1514-4946;0.003589;1.86e-20;GRS:4FGL_J1514.3-4946[aab+22];HE;
150;J1516-43;0.036022;*;*;*;
151;B1516+02B;0.007947;-3.30e-21;GC:M5(NGC5904);*;
152;J1518+0204C;0.002484;2.61e-20;GC:M5(NGC5904),OPT:COM_M5C[prf+14];*;
153;J1518+0204D;0.002988;*;GC:M5(NGC5904);*;
154;J1518+0204E;0.003182;*;GC:M5(NGC5904);*;
155;J1518+4904;0.040935;2.72e-20;*;*;
156;J1525-5545;0.011360;1.31e-19;*;*;
157;J1526-2744;0.002489;3.54e-21;GRS:[cbb+23];NRAD[aab+22];
158;J1528-3146;0.060822;2.49e-19;*;*;
159;J1529-3828;0.008486;2.70e-20;*;*;
160;J1529-5609;0.036032;*;*;*;
161;J1536-4948;0.003080;2.12e-20;GRS:4FGL_J1536.4-4948[brj+21];HE[brj+21];
162;J1536-6149;0.006875;*;*;*;
163;B1534+12;0.037904;2.42e-18;XRS:[kpg06b];*;
164;J1537-5312;0.006927;1.59e-20;*;*;
165;J1543-5149;0.002057;1.62e-20;GRS:4FGL_J1543.6-5148[aab+22];HE[aab+22];
166;J1543-5439;0.004312;*;*;*;
167;J1544+4937;0.002159;2.80e-21;GRS:4FGL_J1544.0+4939[aab+22],OPT:[tkp+1;HE[brr+13];
168;J1545-4550;0.003575;5.25e-20;*;*;
169;J1546-3747A;0.002606;*;GC:NGC5986;*;
170;J1547-5709;0.004291;7.45e-21;*;*;
171;J1554-5906;0.008702;*;*;*;
172;J1555-2908;0.001788;4.45e-20;OPT:Gaia_ID6041127310076589056[gbv+21],G;HE[rnc+22];
173;J1600-3053;0.003598;9.50e-21;GRS:4FGL_J1600.9-3054[aab+22],XRS:[pb15];HE[egc+13];
174;J1603-7202;0.014842;1.56e-20;*;*;
175;J1614-2230;0.003151;9.62e-21;GRS:4FGL_J1614.5-2230[aab+22],OPT:[bk11];HE[aaa+09f];
176;J1614-2318;0.033504;5.15e-20;*;*;
